0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,Label
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.067610115,0.4697958,1.0319861,0.10507206,0.36258495,0.14651561,0.0,0.27090365,0.0,0.7547697,0.0,0.43776712,1.08557,0.609817,0.14924967,0.7135368,0.0,1.0239557,0.0,0.72953504,0.0,2.1079698,1.7025874,0.0,0.0,0.971266,1.5483321,3.10576,0.0,2.650175,1.433785,0.0,0
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.0,0.33219513,1.366191,0.5725451,1.018982,0.0,0.0,0.37609166,0.41923928,1.4133797,0.0,0.8027733,0.62359685,0.22334942,0.0,1.2226481,0.08964324,0.0,0.3353064,2.9146652,1.7099074,2.1701872,1.4668365,0.7209115,1.7279998,0.67543465,3.8115435,1.2671878,0.4841677,1.8850259,0.79093266,0.0,0
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.07916889,0.2680924,0.31460518,0.0,0.96448016,0.12521636,0.0,0.60004103,0.30422834,0.67897934,0.0,0.37116155,0.16430093,0.46919563,0.0,0.49760717,0.0,0.23512796,0.0,0.91474456,0.004668196,2.5729408,0.44951743,0.39220238,0.7940289,0.33463705,2.7433102,0.35777688,1.0837247,1.5277971,0.552234,0.0,0
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.0,0.408073,1.9126216,0.17520466,2.738551,0.0,0.0,2.0267758,0.8087283,2.774648,0.0,1.2059416,0.0013325103,0.5779361,0.0,2.479795,1.0297714,0.07062041,0.43297186,0.549556,0.0,1.5366628,1.3549426,0.06350649,0.7030868,0.40701073,0.16958347,0.2910796,0.0,0.82778436,0.36687797,0.0,0
4.0030947,2.9153655,0.0,0.0,0.1590049,0.0,3.3479586,3.2932262,0.0,1.8013724,3.7487032,2.224862,0.0,4.113388,2.7731445,1.9056185,0.0,1.972224,1.5951889,0.7775142,1.2774023,0.0,0.0,1.0642426,1.2526269,3.426171,0.0,2.4809837,0.06664922,0.0,0.0,3.1429212,1.0467724,0.5779842,0.0,2.4440632,0.3268325,1.9114197,1.2167131,0.0,0.0,0.0,0.71217364,0.67342293,0.024626575,0.7146209,0.0,0.0,2
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.07452694,0.7091606,0.43263286,0.23715162,0.9689962,0.0,0.0,0.56897384,0.8307806,1.550446,0.0,0.99107414,0.035174802,0.0,0.0,1.2271283,0.0,0.076156005,7.0442004,0.9029932,0.07927186,6.0490675,1.6649742,0.5130902,1.6818906,2.4899676,3.5110748,2.1413,0.0,1.436913,5.5223227,0.0,0
14.528838,6.775886,0.0,7.6319704,0.0,0.0,6.8536696,0.0,18.461338,5.311734,2.7701943,4.527419,0.0,1.2677532,21.000252,11.860634,0.16346632,1.2652715,2.2959092,0.0,1.2228553,0.7680659,0.0,1.3763478,0.0,1.0867556,0.0,0.2376847,1.9907428,2.5691316,1.2598624,1.5499835,0.6023711,0.661076,0.0,2.9026237,0.0,6.1154757,1.1468626,0.28276816,1.8324794,0.0,6.2481833,0.0,1.2391232,1.7273062,0.972269,0.0,3
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.50006896,0.34838724,0.47602344,0.0,1.2622854,0.27502915,0.0,0.6376417,0.110929415,0.3914492,0.0,0.47106084,0.9708524,1.3673027,0.08034021,0.06652231,0.17348948,0.18244445,0.0,0.2909014,0.0,0.8483302,0.4281,0.0,0.06886291,0.21700464,0.6325024,0.17376,0.2639658,0.04927215,0.22616754,0.0,0
6.9311886,6.2314086,0.0,3.6238008,0.0,0.0,7.7125607,6.3121142,2.7123263,7.789923,4.86178,2.171483,0.0,7.7118816,5.522795,7.000664,0.0,1.3344152,1.2063005,0.84630644,0.27057463,0.056392662,0.0,0.17941709,0.22293192,1.7093434,0.0,1.3653893,0.8363954,0.118733756,0.0,1.6444008,1.2556823,0.8782322,0.0,1.8524326,0.14204666,1.8805537,1.3801694,0.0,0.0,0.16087282,0.2147251,1.1665887,0.0,1.3164899,0.3270384,0.0,2
0.31361824,0.21613659,0.0,0.16560116,0.15276304,0.0798906,0.07169863,0.4199951,0.28014404,0.29483166,0.123571366,0.16526896,0.14955136,0.23831126,0.14565739,0.2712605,0.6357706,0.9454281,1.6843957,0.0,1.4091713,0.67648876,0.0,1.1474024,0.0,0.7160509,0.0,0.510103,2.308281,2.7155733,0.80537647,0.75634885,0.8283943,1.380909,0.0,0.5113139,0.0,5.7064557,2.647025,0.0,1.2204278,2.308905,1.6870586,0.0,1.0762551,0.39994076,4.176246,0.0,0
6.1646123,3.2375102,0.0,0.0,1.1796184,0.0,4.334083,7.5144396,0.16724735,0.0,4.231477,2.1855476,0.0,2.8898518,1.6856366,0.26503244,0.0,1.1283486,1.689645,1.0437764,0.35765642,0.07885416,0.0,0.20812824,0.1687986,1.6307635,0.0,1.1359973,1.5476642,0.5706064,0.0,1.501557,0.0,0.07271643,0.0,1.0506352,0.36512235,3.605529,2.7083814,0.0,0.0,0.6034623,0.36842033,3.8332038,0.0,3.3582492,1.4599535,0.0,2
7.076177,6.1536016,0.0,2.319191,3.2288055,1.6379982,3.2602873,1.8885252,0.9806237,2.451795,1.2775086,6.7461348,0.0,0.0,0.0,0.32218343,1.0972775,2.4449708,0.5039259,0.0,1.476068,1.4988675,0.0,0.9113479,0.0,1.0214866,0.0,0.34778327,0.90298533,2.8974428,0.8817767,1.0588818,1.6278358,1.065364,0.0,2.5560036,0.0,1.7808988,1.3440711,0.0,0.0,0.16078694,1.1207379,0.1613567,0.14603297,0.7548547,0.59445065,0.0,3
