0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Label
6.8993216,0.0,5.6201525,8.367701,0.0,5.370172,0.0,8.667472,12.21529,5.561987,5.649897,10.680204,11.612642,11.309164,13.524659,0.0,0.0,1.6160469,0.14789794,13.534755,3.602852,2.7849238,7.6640687,6.1378713,5.6594815,0.0,11.599946,4.0835457,0.28812742,5.8875494,1.2969345,2.6496487,8.319342,3.8466601,1.8189309,10.468251,3.9557056,0.5273577,0.0,11.77472,8.603227,2.7294545,1.0428147,7.6971927,10.694261,7.622736,1.8041089,3.0339553,3.8710308,1.2191168,2.6316078,4.694278,3.948824,0.0,5.0799093,8.445644,1.8310935,2.8660288,0.0,6.5599675,0.15561496,5.6199946,2.8874304,2.0489342,1.0
13.259665,0.0,15.677972,5.561164,1.2868379,4.6790733,0.0,14.61599,11.446935,7.11779,4.8445415,0.0,12.812591,13.561202,9.493135,0.0,0.0,9.6608095,0.20607018,18.271833,4.726608,2.8712478,2.9592612,6.4001136,9.244143,0.696657,11.502978,6.614625,5.759411,7.0504093,0.4800396,1.6376841,8.75351,2.056139,5.5275216,4.5091906,2.5434995,0.0,0.0,8.894153,9.104471,6.3123255,4.7695866,0.0,10.108881,4.947412,6.7951727,7.9400053,5.5490313,0.0,1.2250777,0.0,8.046042,0.83961326,14.362284,0.0,3.0906785,0.87377524,0.0,5.9346447,0.87945575,6.6955557,0.0,0.0,0.0
5.206703,0.0,4.9285326,2.7530055,0.0,10.574549,0.0,8.912055,5.0200763,1.0790523,1.5938082,3.249633,9.046278,9.090177,9.074989,0.0,0.0,7.463033,1.589878,8.589351,2.9790533,3.3457658,7.644165,4.3067093,1.7721521,3.548177,10.906328,3.5588374,0.0,5.0696864,1.585727,3.5339754,0.0,2.5516157,3.1222484,8.860902,3.4706028,3.4241242,4.1936607,7.023134,9.605278,4.929107,2.6329145,3.9585578,9.832996,10.795128,2.5578444,4.8123016,4.499706,5.245809,3.1325183,0.0,4.2465496,1.1983504,6.7272,8.059879,3.114555,1.0450655,1.2798429,0.27777708,0.0,0.90093243,4.3982215,0.767064,0.0
0.0,0.0,8.981093,6.0913444,1.3883976,3.9322789,1.4626222,9.58041,2.1700234,0.7177762,0.0,2.1080348,7.5580926,6.9190903,2.355733,0.0,0.0,5.812158,0.6787023,7.6848745,3.5381138,3.8711529,3.306946,2.549092,3.4786937,5.4325223,4.5489407,5.0633283,2.2901356,3.7043946,6.494535,2.0097532,8.676859,3.1376932,2.4527934,4.013292,0.0,0.0,3.0382643,4.8892684,5.475406,6.936785,9.492321,2.7736826,10.588519,4.6471224,4.2023916,7.586392,5.088827,0.68609273,0.0,0.0,3.8319268,1.3212959,8.414409,2.763545,2.0755064,0.0,2.6733582,2.5973911,0.0,6.1519346,4.309202,0.6364912,3.0
0.55747116,2.540341,5.7874274,5.9597816,0.0,7.0199795,0.0,5.5490665,7.2979503,1.585603,0.9913051,5.792852,8.039622,11.759961,2.9112875,0.0,0.0,1.1606977,1.6718092,4.7375784,2.4763622,6.901531,4.2833414,4.164935,0.056169663,4.1339526,6.2435956,1.4400957,4.0020285,5.1586165,4.2722325,5.364049,6.040263,2.582878,2.4068847,6.317959,0.0,5.4133277,5.152407,13.042404,9.186192,6.8353367,4.345907,6.450461,9.214659,7.604983,8.744923,5.707116,3.2079046,6.116116,0.0,3.5120668,7.409685,0.81657827,5.120523,5.2818284,1.0867246,2.1109731,0.0,6.0411134,2.0855162,5.8030696,5.6657186,5.120157,1.0
1.2323201,0.0,8.152893,6.107225,0.0,6.5615187,5.889011,3.4532404,6.2573547,2.7792895,1.7618916,7.086109,10.730658,0.0,3.2482362,0.0,0.0,0.0,2.4920783,7.9594264,3.4392102,0.48910335,7.288791,4.5886064,2.1959965,1.9767796,5.913793,0.0,1.7938035,8.237654,3.7280278,0.0,9.145836,6.022886,3.7515352,5.1352897,0.024027333,3.944939,1.2875968,2.9415815,4.4676557,6.0425887,8.977628,10.089102,8.380436,10.5857115,0.0,9.627778,7.64114,0.6169123,0.0,2.0320046,6.163338,2.4303684,5.5106916,4.3194194,0.0,0.0,3.4620874,8.68159,0.0,0.4650481,0.7912993,5.5230374,2.0
5.6366568,0.0,9.762078,5.253992,1.7825476,6.181366,0.0,10.261843,9.420331,9.1320715,4.849294,6.074013,10.767546,12.319411,14.108129,0.0,0.0,7.5482435,0.0711519,16.17663,2.0748036,8.646484,11.977798,4.694656,9.992838,2.7070005,13.991391,7.5274005,1.2897485,2.909269,0.86321735,2.7928455,6.2308555,1.7782524,0.24144931,12.511185,0.29961067,0.0,0.0,10.386966,10.012206,3.0231147,2.8844142,5.5806766,13.082085,4.240449,4.8215528,3.9688246,0.56590843,0.0,4.3232117,0.0,4.0868225,2.5329294,7.9116535,4.055568,1.722016,1.5197376,0.0,2.4154694,1.1323091,7.5908585,4.1413054,0.0,2.0
1.4327369,0.0,5.9106603,4.8365855,0.0,10.598825,5.310382,5.257894,3.156021,0.6425426,3.5067773,1.3398839,9.435257,0.68843204,1.3343215,0.0,0.8664455,4.5526323,2.6152444,4.715537,5.205353,3.3819513,8.061489,4.8321385,1.0629053,6.947314,7.3166966,5.4795556,2.585957,10.972438,7.0145454,0.0,5.7937584,4.5403457,5.4686127,7.814154,3.3869023,6.282467,6.068038,1.2475356,4.431682,7.353857,9.083321,8.215588,10.298854,15.225388,1.8842322,10.394448,9.035277,3.8879714,1.7430933,2.0416083,8.635856,0.7083006,8.08352,6.8875084,5.6855655,0.120111145,9.156882,8.6352625,1.9398777,0.75949603,7.4148474,5.474589,2.0
2.0301743,0.0,5.535605,2.6649911,2.699436,3.7140121,0.0,7.6928625,5.3655186,5.1701183,4.1259613,1.3113915,2.276403,1.032507,6.82315,0.0,0.0,5.1913986,5.6281447,9.275014,2.9750266,0.9360099,5.0130434,3.0770426,5.5875745,2.2402754,11.236332,7.86969,0.0,2.1957057,5.096351,0.0,3.1206653,1.9829042,4.9877276,5.7015057,4.499096,0.0,2.6447241,0.0,5.789908,8.655535,4.537587,3.3909187,8.749651,8.819012,0.0,7.405972,4.4394813,0.0,3.5378199,0.0,6.1950316,0.0,6.025784,2.8588533,1.9652203,1.940792,7.137918,2.410325,1.629922,0.0,1.7770412,1.5679274,0.0
3.01213,0.0,9.600898,8.264677,1.9041907,7.4713545,3.2922053,8.734521,7.49015,3.69531,0.9398991,9.308322,13.07613,9.607135,11.213301,0.0,0.0,7.4288926,0.71348053,17.026669,3.6732597,2.4434078,7.4762836,5.4054327,3.1959913,2.8618157,11.522821,1.2423888,3.2844243,5.7939095,1.9456787,5.3862524,4.743636,3.0108006,3.845937,11.258945,7.406752,2.9187462,1.6249539,9.893413,13.507386,6.3071814,4.051175,7.209747,11.940997,8.317799,0.5253766,2.1865404,4.6461267,4.258315,5.8894157,1.6901699,2.1846766,1.9704247,5.6007867,11.577448,1.8849667,0.63056517,1.2213666,0.42958024,0.0,4.2719674,4.3604455,0.0,1.0
